name,address,phone,website,rating,reviews,hours,latitude,longitude,place_url,crawled_at,stt,chain
Circle K,"70 P. Ngụy Như Kon Tum, Nhân Chính, Thanh Xuân, Hà Nội, Vietnam",+84 24 3200 9051,https://www.circlek.com.vn/vi/he-thong-circle-k/,3.5,0,N/A,20.9989544,105.7833158,"https://www.google.com/maps/place/Circle+K/@20.9989544,105.7833158,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ad431d928b5d:0x8cb0bef40a367899!8m2!3d20.9989544!4d105.8008253!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAZIBEWNvbnZlbmllbmNlX3N0b3JlqgFyCg0vZy8xMWM1OW5fcW5zCg0vZy8xMWgxNXh5d2N4CgkvbS8wMXh6OXYQASoMIghjaXJjbGUgayhCMh8QASIbcWqr8jXRYriLnZz2vGDBw15isZwc9iTC_xRKMhYQAiISY2lyY2xlIGsgaMOgIG7hu5lp4AEA!16s%2Fg%2F11f8mg8xm6?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 19:57:28,1,Circle K
Circle K VietNam,"1 Ng. 37 P. Lê Thanh Nghị, Bách Khoa, Hai Bà Trưng, Hà Nội, Vietnam",+84 24 3215 1157,https://circlek.com.vn/,2.2,0,N/A,21.0109608,105.8202802,"https://www.google.com/maps/place/Circle+K+VietNam/@21.0109608,105.8202802,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ac73fd6e3c3b:0xbc7ff3cbcceafa0d!8m2!3d21.0016317!4d105.8464926!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAZIBEWNvbnZlbmllbmNlX3N0b3JlqgFyCg0vZy8xMWM1OW5fcW5zCg0vZy8xMWgxNXh5d2N4CgkvbS8wMXh6OXYQASoMIghjaXJjbGUgayhCMh8QASIbcWqr8jXRYriLnZz2vGDBw15isZwc9iTC_xRKMhYQAiISY2lyY2xlIGsgaMOgIG7hu5lp4AEA!16s%2Fg%2F11hbgr62r0?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 19:57:46,2,Circle K
Circle K Việt Nam,"370 Đ. Nguyễn Trãi, Thanh Xuân Trung, Thanh Xuân, Hà Nội, Vietnam",+84 24 3201 1874,https://www.circlek.com.vn/,2.1,0,N/A,20.9943894,105.7892062,"https://www.google.com/maps/place/Circle+K+Vi%E1%BB%87t+Nam/@20.9943894,105.7892062,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ad583187aebb:0x90838ccf40e24c82!8m2!3d20.9943894!4d105.8067157!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11h3kzq219?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 19:58:03,3,Circle K
Circle K Việt Nam,"292 P. Hoàng Văn Thái, Khương Trung, Thanh Xuân, Hà Nội, Vietnam",+84 24 3200 7058,https://www.circlek.com.vn/,3.1,0,N/A,20.9988126,105.8028922,"https://www.google.com/maps/place/Circle+K+Vi%E1%BB%87t+Nam/@20.9988126,105.8028922,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ac85805c4671:0xa376573eea1c49b4!8m2!3d20.9988126!4d105.8204017!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11g6my_yz9?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 19:58:20,4,Circle K
Circle K VietNam,"113 Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội, Vietnam",+84 24 3218 1791,https://circlek.com.vn/,2.5,0,N/A,21.0109608,105.8202802,"https://www.google.com/maps/place/Circle+K+VietNam/@21.0109608,105.8202802,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ad1fd040927b:0x9cbda117e900d603!8m2!3d21.0028132!4d105.8449417!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11ghvqk_35?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 19:58:38,5,Circle K
Circle K VietNam,"288 Đ. Giải Phóng, Phương Liệt, Thanh Xuân, Hà Nội, Vietnam",+84 24 3710 0317,https://circlek.com.vn/,3.5,0,N/A,20.9909731,105.8233011,"https://www.google.com/maps/place/Circle+K+VietNam/@20.9909731,105.8233011,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ad5b5f8f5483:0x8b4fb15590475e4c!8m2!3d20.9909731!4d105.8408106!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11f8jkb5ky?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 19:58:55,6,Circle K
Circle K VietNam,"A8 P. Tôn Thất Tùng, Kim Liên, Đống Đa, Hà Nội, Vietnam",+84 24 3225 2443,https://www.circlek.com.vn/,2.1,0,N/A,21.0109608,105.8202802,"https://www.google.com/maps/place/Circle+K+VietNam/@21.0109608,105.8202802,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ac7de46d69c7:0xf642bb129da1de68!8m2!3d21.0045412!4d105.8306108!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11c152qtsc?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 19:59:12,7,Circle K
Circle K Viet Nam,"218 Nguyễn Huy Tưởng, Thanh Xuân Trung, Thanh Xuân, Hà Nội, Vietnam",+84 24 3201 5055,https://www.circlek.com.vn/en/store-locator/,2.8,0,N/A,20.996892,105.7860685,"https://www.google.com/maps/place/Circle+K+Viet+Nam/@20.996892,105.7860685,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ad6d18ea4c13:0xe1ea3eccd083c90b!8m2!3d20.996892!4d105.803578!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11hzmp9f2t?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 19:59:30,8,Circle K
Circle K,"62 Đ. Vũ Trọng Phụng, Thanh Xuân Trung, Thanh Xuân, Hà Nội, Vietnam",+84 24 3200 6178,https://circlek.com.vn/,3.4,0,N/A,21.0000137,105.7904455,"https://www.google.com/maps/place/Circle+K/@21.0000137,105.7904455,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ac9781ba494f:0x4c5a2d4e70785dbc!8m2!3d21.0000137!4d105.807955!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11xdz1gq2?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 19:59:47,9,Circle K
Circle K Hà Trung,"79 P. Hà Trung, Hàng Bông, Hoàn Kiếm, Hà Nội, Vietnam",+84 24 3200 1713,https://www.circlek.com.vn/vi/he-thong-circle-k/,3.6,0,N/A,21.0298832,105.8273151,"https://www.google.com/maps/place/Circle+K+H%C3%A0+Trung/@21.0298832,105.8273151,14z/data=!4m10!1m2!2m1!1zQ2lyY2xlIEsgSMOgIE7hu5lp!3m6!1s0x3135ab59bd823f87:0xc404d6efccc48c58!8m2!3d21.0298832!4d105.8448246!15sChJDaXJjbGUgSyBIw6AgTuG7mWkiA4gBAVoUIhJjaXJjbGUgayBow6AgbuG7mWmSARFjb252ZW5pZW5jZV9zdG9yZaoBcgoNL2cvMTFjNTluX3FucwoNL2cvMTFoMTV4eXdjeAoJL20vMDF4ejl2EAEqDCIIY2lyY2xlIGsoQjIfEAEiG3Fqq_I10WK4i52c9rxgwcNeYrGcHPYkwv8USjIWEAIiEmNpcmNsZSBrIGjDoCBu4buZaeABAA!16s%2Fg%2F11f8k1q7n5?entry=ttu&g_ep=EgoyMDI1MTExNi4wIKXMDSoASAFQAw%3D%3D",2025-11-19 20:00:04,10,Circle K
